battery,internal,name,price,ram,rating
2500,16,"Lava Z60 (Gold, 16 GB)",4000,1,3.9
3000,8,"Swipe Elite X (Black, 8 GB)",4000,1,3.4
2700,8,"Mobiistar C1 Lite (Black, 8 GB)",4000,1,4
2000,8,"Micromax Bharat 3 (Champagne, 8 GB)",4150,1,3.8
2210,16,"Panasonic P9 (Black, 16 GB)",4070,1,3.7
2150,8,"Nokia 1 (Warm Red, 8 GB)",4099,1,4
2000,8,"Lava Z50 (Black, 8 GB)",4099,1,3.8
2000,8,"Lava A77/A77T (Blue, Midnight Blue, 8 GB)",4099,1,3.6
2000,16,"Coolpad Mega 5M (Sky Blue, 16 GB)",4099,1,3.7
2000,16,"Coolpad Mega 5M (Gold, 16 GB)",4099,1,3.7
2100,8,"KXD W50 (Black, 8 GB)",4099,1,3.3
2100,8,"KXD W50 (Blue, 8 GB)",4099,1,3.3
2000,16,"Gionee P5_W (Black, 16 GB)",4099,1,3.8
2100,8,"KXD W50 (Gold, 8 GB)",4099,1,3.3
2100,8,"KXD W50 (Red, 8 GB)",4099,1,3.3
2000,8,"Intex Infie 3 (Grey, 8 GB)",4099,1,3.8
2200,8,"Kara S5 (Rose Gold, 8 GB)",4099,1,4.3
2200,8,"Kara S5 (Gold, 8 GB)",4099,1,4.3
2200,8,"Micromax Spark 4G (Black, 8 GB)",4099,1,4
2200,8,"Lava A73 (Dark Grey, 8 GB)",4099,1,3.7
1500,8,"Celkon Smart 4G (Gold, 8 GB)",4100,1,3.8
2000,8,"LYF C459 (Blue, 8 GB)",4100,1,3.5
2000,8,"LYF C459 (Black, 8 GB)",4100,1,3.5
2000,8,"LYF C459 (Blue, 8 GB)",4100,1,3.5
2100,8,"ZOPO Color E ZP350 (White, 8 GB)",4199,1,3.2
2200,16,"Ziox Astra Curve 4G (Gold, 16 GB)",4199,2,2.3
2500,16,"Comio C1 Pro (Royal Black, 16 GB)",4249,1.5,4
2500,16,"Micromax Bharat 4 (Black/Jet Black, 16 GB)",4288,1,3.9
2400,16,"InFocus A2 (Midnight Black, 16 GB)",4288,2,3.5
1850,8,"Gionee P5 Mini (White, 8 GB)",4290,1,3.8
2300,8,"Intex Aqua S1 (Black, 8 GB)",4295,1,2
3000,8,"Intex Infie 33 (Matte Black, 8 GB)",4295,1,3.7
2300,8,"Intex Aqua S1 (Champagne, 8 GB)",4295,1,2
3000,16,"XOLO Era 4x (Gold, 16 GB)",4299,1,4.1
